iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
10,1.0,50.0,0.0,0.5846399908101657,0.5846307192583108,0.6879033968325639,0.009271551854908466,0.17944857478141785,0.25,0.0,0.02241218462586403,0.6879033968325639,305,9.970506703500217e-07,1.6746228300035
11,1.0,50.0,0.0,0.5681868091793227,0.5681771587281915,0.6710065869109699,0.009650451131165028,0.17784076929092407,0.25,0.0,0.02229844219982624,0.6710065869109699,305,9.898983342472882e-07,1.7144446950405836
12,1.0,50.0,0.0,0.5518374854120696,0.5518274592384035,0.6540004642239207,0.010026173666119576,0.17610880732536316,0.25,0.0,0.021898673847317696,0.6540004642239207,305,9.389672873942075e-07,1.7119370847940445
13,1.0,50.0,0.0,0.5358518767133817,0.5358414746243969,0.6370059216902109,0.010402088984847069,0.17426300048828125,0.25,0.0,0.021119123324751854,0.6370059216902109,305,9.636306266986894e-07,1.6907877046614885
14,1.0,50.0,0.0,0.5205686965395108,0.5205579195727006,0.6201944051571935,0.01077696681022644,0.17231550812721252,0.25,0.0,0.019854716956615448,0.6201944051571935,304,9.93183212802432e-07,1.7052330505102873
15,1.0,50.0,0.0,0.5063966997295452,0.5063855534970594,0.6038517762204991,0.01114623248577118,0.17028115689754486,0.2499999701976776,0.0,0.018061339855194092,0.6038517762204991,304,9.660739836173815e-07,1.7013016436249018
16,1.0,50.0,0.0,0.49373935794483104,0.49372785210634745,0.5879278771087578,0.011505838483572006,0.16817837953567505,0.2499999850988388,0.0,0.015874959528446198,0.5879278771087578,304,9.894587091063832e-07,1.7326587289571762
17,1.0,50.0,0.0,0.48285077205135074,0.4828389165422186,0.5780199738698208,0.011855509132146835,0.16602978110313416,0.25,0.0,0.013659541495144367,0.5780199738698208,304,9.702850283621148e-07,1.723724976181984
18,1.0,50.0,0.0,0.4737154167008206,0.4737032217981845,0.5740480863868365,0.012194902636110783,0.16386105120182037,0.25,0.0,0.01183308381587267,0.5740480863868365,304,9.373841594371115e-07,1.7007166016846895
19,1.0,50.0,0.0,0.4660705278809642,0.46605801109927647,0.5699744008862073,0.012516781687736511,0.16169773042201996,0.2499999701976776,0.00048828125,0.010591842234134674,0.5699744008862073,303,9.795048306781785e-07,1.696298299357295
20,1.0,50.0,0.0,0.45954984199749344,0.4595370223795068,0.5658449470521073,0.012819617986679077,0.15956145524978638,0.25,0.003173828125,0.009852561168372631,0.5658449470521073,303,9.978034236886067e-07,1.6596465837210417
21,1.0,50.0,0.0,0.45381909448805313,0.45380598816613715,0.5616988073550484,0.013106321915984154,0.15746790170669556,0.2499999701976776,0.011962890625,0.00942338164895773,0.5616988073550484,303,9.70566240365431e-07,1.7135633919388056
22,1.0,50.0,0.0,0.4486318589589281,0.4486184781511037,0.5575680916240281,0.01338080782443285,0.1554270088672638,0.25,0.03857421875,0.009149711579084396,0.5575680916240281,303,9.837659706451679e-07,1.6642432510852814
23,1.0,50.0,0.0,0.44382725465682266,0.4438136103499022,0.5534788806520504,0.013644306920468807,0.15344391763210297,0.25,0.08447265625,0.008944232016801834,0.5534788806520504,302,9.903780929452934e-07,1.7021210584789515
24,1.0,50.0,0.0,0.43930574889133706,0.4392918497438265,0.5494510760694012,0.013899147510528564,0.1515204906463623,0.2499999701976776,0.12060546875,0.00876570213586092,0.5494510760694012,302,9.975680068095773e-07,1.6634094472974539
25,1.0,50.0,0.0,0.4350070583139866,0.43499291177181,0.545499409198906,0.014146542176604271,0.14965632557868958,0.2499999850988388,0.1513671875,0.00859678816050291,0.545499409198906,302,9.83545258521369e-07,1.696547083556652
26,1.0,50.0,0.0,0.43089441796822686,0.43088002827448985,0.5416343597172931,0.01438969373703003,0.14784972369670868,0.2499999701976776,0.182373046875,0.00843108631670475,0.5416343597172931,302,9.67619412222345e-07,1.6728038005530834
27,1.0,50.0,0.0,0.4269444758180015,0.4269298422546543,0.5378627419094885,0.014633563347160816,0.14609819650650024,0.2499999701976776,0.20654296875,0.008266895078122616,0.5378627419094885,302,9.924247627818947e-07,1.6673507951200008
