split,task_index,family,task_id,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_peaks,worst_peak,maximum_normalized_residual,wall_seconds
test_id,3,MMA_600,f1729ffe682a09f712fea620f6a866e1078ebb8e1f881b22fb78006ea555aaaa,256,87fc91e871ba424c7bd9b7d5f3750b296adfb9bec8e773efd58704bb3860c783,4aa76776f44aedfe223589ce3acdbe9a0f17473f842365dc9488b2bd96134445,0.25,"(0.1621365171336774, 0.16904206343577802, 0.16752215134285173)",0.16904206343577802,7.713980593419624e-12,2.3019647765904665
test_id,4,SENS_UNET_BEST4_R25,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,9ce83fc9a2a1d712ecff6d0036989bb917b7128c4d5c96e49c025930330c818c,621ba32cba51fa574a1556c4d2ab6cc6969b8d1086b7729132b94321134c8526,0.25,"(0.14471589625805795, 0.10176605814558681, 0.14375424078564897)",0.14471589625805795,7.118966438007552e-12,2.100834123790264
test_id,4,FIELD_UNET_BEST4_R25,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,bdf0a05c3858b1a1223e8d161bcc86d2a8bb091e2ace9d3e1f1e19b8f4e1cd8f,1ba07a987f18104eeaabb69c29eb9b9efa6659625b9606c819651d946400c13e,0.25,"(0.14491120881187225, 0.10218783550244045, 0.14181844210370462)",0.14491120881187225,7.381110029191489e-12,2.103459119796753
test_id,4,SENS_UNET_BEST4,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,6ce8f0d137137515371801666c5cfe240daff604e97c032bdaa7be57115ff8eb,ed88c0f2ebcf816ee9ec38f0aedf98414c4b05e1f796f5296e49655c0e2f0c7f,0.25,"(0.14518392456406615, 0.10257669815787818, 0.14552035765310878)",0.14552035765310878,7.066989800051224e-12,2.381014846265316
test_id,4,SENS_UNET_BEST4_R50,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,bc19474bdb2fef291010763560ba548671ad5518a679c3688088e94087a3e2a5,8f1b347c81487caba2db619d9da3647639dbc73ef1d3785c670e2fd78af44198,0.25,"(0.14481022363531942, 0.10165506226090627, 0.14361374959955514)",0.14481022363531942,7.003594348520193e-12,2.3073091693222523
test_id,4,ADAM_600,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,31ade06dde442bb3617e3541418c0af0eb890b18f29ca5fecee9e9ab890021d9,08e0d4133f6f95f673c0519152e6f76bf126caecd24c38bde2f712d9a4fd56fc,0.25,"(0.14685627985032132, 0.0965849013379104, 0.14696736048844683)",0.14696736048844683,7.175947569233354e-12,2.182498224079609
test_id,4,MMA_600,6961218c30291666205b2e2865e35c5992c3217207e94bc3a7d015110b340b88,256,69969e28fe81584a282aa98b15f29668b27f755b0f47d6f06aa72c725fb0b315,9e84b8c4b177bcab3d12980dd8bef191d24b32300802ed041bb77f7a8e9b75cc,0.25,"(0.14954986166457546, 0.09223172599779793, 0.1500696077916658)",0.1500696077916658,6.666177551601507e-12,2.009905107319355
test_id,5,SENS_UNET_BEST4_R25,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,168de642cec86c743432d11a1df1b37687e0fa74dd72ae95f4f19848ecba715d,33334d4ae0545273776bdfac4540d9910c78d8d2ad65f7992342fd181d9826a3,0.25,"(0.1724948135294908, 0.14974878770883843, 0.17013015526754774)",0.1724948135294908,8.22948880337863e-12,2.1227800585329533
test_id,5,FIELD_UNET_BEST4_R25,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,8e33bd2c5ee459f642745a6700c93338538e9609637c48bef7d6ee06005d22ac,70e0dabecb1efaa5e7fdcb05e45fbc7f2febdf78f9377dcda00f2ed58a47f54f,0.25,"(0.16611966815078202, 0.1645774162190373, 0.1666088840269062)",0.1666088840269062,8.077573520420331e-12,1.9989986475557089
test_id,5,SENS_UNET_BEST4,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,d8d66d0692f837b74618debac6085b16c91f443c3619558bff98f2b7c8cea658,fcd6d8653b3d33df55c14bfb0844faf0d4bf78a49f4cb19b5209cf00bfcfac62,0.25,"(0.16775556396055694, 0.1500288319927402, 0.17199208531746943)",0.17199208531746943,8.277157562067447e-12,2.01439905539155
