update,stage_id,learning_rate,task_exposures,mean_total_objective,mean_thermal_smooth,mean_exact_tmax,maximum_projection_absolute_error,maximum_material_fraction_error,gradient_norm_before_clipping,gradient_norm_after_clipping,all_gradients_finite,wall_seconds
1094,3,0.0001,4,0.20905929276675886,0.20884311026244393,0.22340153885982256,2.9802322387695312e-08,2.9802322387695312e-08,0.30100346599558236,0.30100346599558236,True,3.566178895533085
1095,3,0.0001,4,0.1763739802938059,0.1761562322623201,0.18983981976451522,2.9802322387695312e-08,2.9802322387695312e-08,0.0943735038810444,0.0943735038810444,True,3.5657740253955126
1096,3,0.0001,4,0.1901730898816714,0.1899521242927404,0.20416865001470724,2.9802322387695312e-08,2.9802322387695312e-08,0.2500394658875351,0.2500394658875351,True,3.4308573808521032
1097,3,0.0001,4,0.1989682500315647,0.1987631033011529,0.21311513128604231,1.4901161193847656e-08,1.4901161193847656e-08,0.306340608832711,0.306340608832711,True,3.4815122801810503
1098,3,0.0001,4,0.18703976229590905,0.18682132949599606,0.20140809841820762,2.9802322387695312e-08,2.9802322387695312e-08,0.18987312664992115,0.18987312664992115,True,3.4399067107588053
1099,3,0.0001,4,0.20279668388173447,0.20257379243180618,0.21653987834828678,2.9802322387695312e-08,2.9802322387695312e-08,0.12346106954666314,0.12346106954666314,True,3.470614777877927
1100,3,0.0001,4,0.1982285005285204,0.19804529960293177,0.2129840188872009,0.0,0.0,0.21913336659920638,0.21913336659920638,True,3.5802912544459105
1101,3,0.0001,4,0.21936617879502268,0.21914496364051272,0.23351389484040364,2.9802322387695312e-08,2.9802322387695312e-08,0.7096387246358383,0.7096387246358383,True,3.6349698323756456
1102,3,0.0001,4,0.19344839307692868,0.1932439335247412,0.20753253220505033,2.9802322387695312e-08,2.9802322387695312e-08,0.21743393988812842,0.21743393988812842,True,3.656896276399493
1103,3,0.0001,4,0.19948175693369213,0.19924256430166515,0.21363609087220908,2.9802322387695312e-08,2.9802322387695312e-08,0.1555088608681638,0.1555088608681638,True,3.4889971241354942
1104,3,0.0001,4,0.19510843456715043,0.19490127870991525,0.2094476006903328,2.9802322387695312e-08,2.9802322387695312e-08,0.1747290734869283,0.1747290734869283,True,3.57912128418684
1105,3,0.0001,4,0.19895874619995144,0.19871427121245203,0.2122455367447936,2.9802322387695312e-08,2.9802322387695312e-08,0.3441471626019541,0.3441471626019541,True,3.4682564437389374
1106,3,0.0001,4,0.20525683832924305,0.20505663225437937,0.21948563193284687,2.9802322387695312e-08,2.9802322387695312e-08,0.0665787208681865,0.0665787208681865,True,3.5252729393541813
1107,3,0.0001,4,0.19632208669834772,0.1961119604254794,0.21041063690399692,1.4901161193847656e-08,1.4901161193847656e-08,0.11543114484134402,0.11543114484134402,True,3.5700853392481804
1108,3,0.0001,4,0.18935891394306462,0.1891569385387797,0.20354948600311165,2.9802322387695312e-08,2.9802322387695312e-08,0.6429283969936407,0.6429283969936407,True,3.578396711498499
1109,3,0.0001,4,0.16876079621437243,0.1685274165793439,0.1819806447972263,1.4901161193847656e-08,1.4901161193847656e-08,0.21937453550105301,0.21937453550105301,True,3.4483921732753515
1110,3,0.0001,4,0.1837412088956358,0.18355774651986081,0.19825152849554498,1.4901161193847656e-08,1.4901161193847656e-08,0.15562853369176843,0.15562853369176843,True,3.609897907823324
1111,3,0.0001,4,0.18286191595206155,0.18266076177964108,0.1966881269653182,2.9802322387695312e-08,2.9802322387695312e-08,0.1847196997056495,0.1847196997056495,True,3.509735431522131
1112,3,0.0001,4,0.20202042698654427,0.20180997262503098,0.21616067804678651,1.4901161193847656e-08,1.4901161193847656e-08,0.1800514336785848,0.1800514336785848,True,3.6293877605348825
1113,3,0.0001,4,0.1912578713118528,0.1910525859093723,0.20509240070876864,1.4901161193847656e-08,1.4901161193847656e-08,0.09102383119180338,0.09102383119180338,True,3.619010854512453
1114,3,0.0001,4,0.22503150940115674,0.22482042936875593,0.23979993510921863,1.4901161193847656e-08,1.4901161193847656e-08,2.944550692718241,0.9999996810056346,True,3.726760510355234
1115,3,0.0001,4,0.1910300829682207,0.190829793763504,0.2056009207230463,1.4901161193847656e-08,1.4901161193847656e-08,0.06588351808100519,0.06588351808100519,True,3.611191028729081
1116,3,0.0001,4,0.192541794865574,0.19233037565247646,0.20637812852661994,1.4901161193847656e-08,1.4901161193847656e-08,0.12727982214155872,0.12727982214155872,True,3.606905799359083
1117,3,0.0001,4,0.18996066695500005,0.18974259031891663,0.20346799287974085,1.4901161193847656e-08,1.4901161193847656e-08,0.28011708111224726,0.28011708111224726,True,3.465103404596448
1118,3,0.0001,4,0.19440663124805913,0.19421116957532836,0.20853816570417355,1.4901161193847656e-08,1.4901161193847656e-08,0.10456035032731735,0.10456035032731735,True,3.669900882989168
1119,3,0.0001,4,0.1911658830227685,0.19091111533384592,0.20449200144825103,1.4901161193847656e-08,1.4901161193847656e-08,0.23185607758381632,0.23185607758381632,True,3.677065834403038
1120,3,0.0001,4,0.1939267144479751,0.19368000227929646,0.2071992938463265,0.0,0.0,0.28175720903122853,0.28175720903122853,True,3.479896819218993
1121,3,0.0001,4,0.2100223460047292,0.2098258323868523,0.22445294073071748,2.9802322387695312e-08,2.9802322387695312e-08,0.09558530142071935,0.09558530142071935,True,3.624243898317218
1122,3,0.0001,4,0.1842431112257003,0.1840055080008864,0.1979091979778239,2.9802322387695312e-08,2.9802322387695312e-08,0.17416535171246628,0.17416535171246628,True,3.6526450775563717
1123,3,0.0001,4,0.1891621576928469,0.1889651100336509,0.20344851106892725,1.4901161193847656e-08,1.4901161193847656e-08,1.4423602520200416,0.9999992960609347,True,3.575045669451356
1124,3,0.0001,4,0.21753039835367277,0.21732748032009153,0.23179230857153318,1.4901161193847656e-08,1.4901161193847656e-08,1.0740921634259606,0.9999990044886737,True,3.7042318675667048
1125,3,0.0001,4,0.1911682409011663,0.19095914977517886,0.2054184694761368,1.4901161193847656e-08,1.4901161193847656e-08,0.11995542715013519,0.11995542715013519,True,3.623649150133133
1126,3,0.0001,4,0.1760907594885714,0.1758928541017733,0.1901392218332611,1.4901161193847656e-08,1.4901161193847656e-08,0.2656739795552755,0.2656739795552755,True,3.526539959013462
1127,3,0.0001,4,0.20876871797755708,0.20855796359094209,0.22300349082114085,2.9802322387695312e-08,2.9802322387695312e-08,0.32241563215630537,0.32241563215630537,True,3.442966468632221
1128,3,0.0001,4,0.17317511317188544,0.17295664343245953,0.18663320687653379,1.4901161193847656e-08,1.4901161193847656e-08,0.24619071437871937,0.24619071437871937,True,3.502578804269433
1129,3,0.0001,4,0.18567050442879243,0.18548407265438852,0.20030876361656677,2.9802322387695312e-08,2.9802322387695312e-08,0.335984737391939,0.335984737391939,True,3.530439268797636
1130,3,0.0001,4,0.1906908171897285,0.19048286360301975,0.2049699613357004,2.9802322387695312e-08,2.9802322387695312e-08,0.27683542068287664,0.27683542068287664,True,3.3090513721108437
1131,3,0.0001,4,0.18742570765830174,0.1872141687590775,0.20148152843779088,2.9802322387695312e-08,2.9802322387695312e-08,0.2772149907826649,0.2772149907826649,True,3.4316249806433916
1132,3,0.0001,4,0.18588691631581628,0.18568840540217224,0.20037480586920067,1.4901161193847656e-08,1.4901161193847656e-08,0.16832389952099222,0.16832389952099222,True,3.412325192242861
1133,3,0.0001,4,0.18448714826905127,0.1842543484652131,0.19781360192994865,4.470348358154297e-08,4.470348358154297e-08,0.1797372319036006,0.1797372319036006,True,3.478752901777625
1134,3,0.0001,4,0.19106769833360157,0.19087628181437322,0.20567249532291942,0.0,0.0,0.1205578121248014,0.1205578121248014,True,3.4409676138311625
1135,3,0.0001,4,0.1907079185502686,0.19051968679289225,0.20527322229268544,1.4901161193847656e-08,1.4901161193847656e-08,0.11200487724500058,0.11200487724500058,True,3.5630328077822924
1136,3,0.0001,4,0.2152988023113488,0.21509962626807677,0.2299308875289444,1.4901161193847656e-08,1.4901161193847656e-08,0.32488935175254624,0.32488935175254624,True,3.5278037916868925
1137,3,0.0001,4,0.19191835025419002,0.19172639506892752,0.20595712670679248,4.470348358154297e-08,4.470348358154297e-08,0.7086896843516645,0.7086896843516645,True,3.455231223255396
1138,3,0.0001,4,0.18293446903048613,0.18270988851670708,0.19671039426673723,1.4901161193847656e-08,1.4901161193847656e-08,0.3191181203225854,0.3191181203225854,True,3.5236324165016413
1139,3,0.0001,4,0.16530753915591795,0.16507280519113574,0.1782505827558493,1.4901161193847656e-08,1.4901161193847656e-08,0.17569534898690786,0.17569534898690786,True,3.4377496372908354
1140,3,0.0001,4,0.18315392013252,0.18293530197147495,0.19670367271672254,1.4901161193847656e-08,1.4901161193847656e-08,0.24498223411584116,0.24498223411584116,True,3.399479066953063
1141,3,0.0001,4,0.19286984668219478,0.19267067052576708,0.20705463599691537,1.4901161193847656e-08,1.4901161193847656e-08,0.09902110507880361,0.09902110507880361,True,3.5124242268502712
1142,3,0.0001,4,0.18732882582352853,0.18713190410429037,0.20093777569552204,1.4901161193847656e-08,1.4901161193847656e-08,0.16610690634344882,0.16610690634344882,True,3.4014909379184246
1143,3,0.0001,4,0.1899803787349097,0.18977921448697593,0.2038707845856801,1.4901161193847656e-08,1.4901161193847656e-08,0.10756189099223898,0.10756189099223898,True,3.5041625034064054
1144,3,0.0001,4,0.18117136749481202,0.18099169147848504,0.19525733425607214,2.9802322387695312e-08,2.9802322387695312e-08,0.08245239268771422,0.08245239268771422,True,3.6059604100883007
1145,3,0.0001,4,0.18968769133980168,0.1894854007391703,0.20322350755118226,0.0,0.0,0.11835846297796668,0.11835846297796668,True,3.4969416055828333
1146,3,0.0001,4,0.19051644606835968,0.19032222177268765,0.2046497338879567,2.9802322387695312e-08,2.9802322387695312e-08,0.13841212806170503,0.13841212806170503,True,3.6160096805542707
1147,3,0.0001,4,0.1810138438761703,0.1808186720654837,0.19522123329890456,1.4901161193847656e-08,1.4901161193847656e-08,0.047352290115562044,0.047352290115562044,True,3.524815609678626
1148,3,0.0001,4,0.1900656399673861,0.18985645684349203,0.20367824917897936,2.9802322387695312e-08,2.9802322387695312e-08,0.1343188273899299,0.1343188273899299,True,3.515432918444276
1149,3,0.0001,4,0.19630719861492946,0.19610557566361933,0.21073400483161758,2.9802322387695312e-08,2.9802322387695312e-08,0.3568784222445931,0.3568784222445931,True,3.572581058368087
1150,3,0.0001,4,0.1710375887198709,0.1708502787529826,0.1854708449206281,1.4901161193847656e-08,1.4901161193847656e-08,0.13192600390216858,0.13192600390216858,True,3.6104422863572836
1151,3,0.0001,4,0.20177755405967157,0.20158652777810615,0.21645737099612575,2.9802322387695312e-08,2.9802322387695312e-08,0.09669104831501192,0.09669104831501192,True,3.569535853341222
1152,3,0.0001,4,0.21030153779107105,0.2101048100118428,0.22482529012396985,1.4901161193847656e-08,1.4901161193847656e-08,0.17652297606443718,0.17652297606443718,True,3.5237158834934235
1153,3,0.0001,4,0.19216210551615748,0.19193001418523434,0.20540008502757567,2.9802322387695312e-08,2.9802322387695312e-08,0.11039960790218953,0.11039960790218953,True,3.5140009243041277
1154,3,0.0001,4,0.18234121528144215,0.18213926295765895,0.19624759087901078,2.9802322387695312e-08,2.9802322387695312e-08,0.12471665181843135,0.12471665181843135,True,3.5623608008027077
1155,3,0.0001,4,0.1984066420928352,0.1982068186667525,0.21248305975208578,2.9802322387695312e-08,2.9802322387695312e-08,0.2974454819264183,0.2974454819264183,True,3.572321940213442
1156,3,0.0001,4,0.19521870447967715,0.1950276815024442,0.20969986595949883,1.4901161193847656e-08,1.4901161193847656e-08,0.12060625176181886,0.12060625176181886,True,3.5464637149125338
1157,3,0.0001,4,0.21172877606523613,0.21153316382511908,0.22616637865720524,1.4901161193847656e-08,1.4901161193847656e-08,0.1858103961747956,0.1858103961747956,True,3.5002695601433516
1158,3,0.0001,4,0.18479441599607896,0.18458091187583708,0.1979356303293579,1.4901161193847656e-08,1.4901161193847656e-08,0.12247170411436212,0.12247170411436212,True,3.5441947635263205
1159,3,0.0001,4,0.17451750551879333,0.17433752679282727,0.18889201726565638,1.4901161193847656e-08,1.4901161193847656e-08,0.10502531048941677,0.10502531048941677,True,3.4625112991780043
1160,3,0.0001,4,0.2047147612300074,0.20449452680426897,0.2185452173280315,2.9802322387695312e-08,2.9802322387695312e-08,0.17191699973888094,0.17191699973888094,True,3.4703712221235037
1161,3,0.0001,4,0.1915132994454949,0.19129970960166667,0.20598554370205036,1.4901161193847656e-08,1.4901161193847656e-08,0.38034246689881623,0.38034246689881623,True,3.64279411919415
1162,3,0.0001,4,0.2026315642866297,0.20243268895903516,0.21675709874218246,1.4901161193847656e-08,1.4901161193847656e-08,0.7310890085967306,0.7310890085967306,True,3.587334679439664
1163,3,0.0001,4,0.18835804481101096,0.18814794124611528,0.2020885097492245,2.9802322387695312e-08,2.9802322387695312e-08,0.12788829272283056,0.12788829272283056,True,3.4328968934714794
1164,3,0.0001,4,0.2052797826794414,0.20507558241537494,0.21995863230918536,1.4901161193847656e-08,1.4901161193847656e-08,0.7138932722388845,0.7138932722388845,True,3.5323498994112015
1165,3,0.0001,4,0.19980223050826562,0.19955835322031154,0.21330894489705612,2.9802322387695312e-08,2.9802322387695312e-08,0.1530268252387647,0.1530268252387647,True,3.5063106790184975
1166,3,0.0001,4,0.1853765782404437,0.18513019465354524,0.19825379617535327,2.9802322387695312e-08,2.9802322387695312e-08,0.09836609272419805,0.09836609272419805,True,3.5719710867851973
1167,3,0.0001,4,0.17806076257691558,0.17784926627266065,0.1925334377277936,2.9802322387695312e-08,2.9802322387695312e-08,0.43582360724688024,0.43582360724688024,True,3.5481956992298365
1168,3,0.0001,4,0.23517880852243353,0.2349697748772097,0.24986730973899923,1.4901161193847656e-08,1.4901161193847656e-08,0.5781850761300543,0.5781850761300543,True,3.5451974738389254
1169,3,0.0001,4,0.19067322828980862,0.19046969233417654,0.20463795085497372,2.9802322387695312e-08,2.9802322387695312e-08,0.2505173932092087,0.2505173932092087,True,3.396189697086811
