rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
38809,tree_xs_0p625_xj_0p300_yj_0p300_r_0p75,0.625,0.3,0.3,0.75,64,975c788d5c11c11532f770baf2078fdc085ab301aa1ca0954bb4b22bdcfd949a,975c788d5c11c11532f770baf2078fdc085ab301aa1ca0954bb4b22bdcfd949a,0.25,0.20086480850117638,0.21324073348295347,0.23853962440574583,0.23853962440574583,0.21754838879662522,7.332858177221807e-13,0.025005400006193668
38810,tree_xs_0p475_xj_0p725_yj_0p175_r_0p75,0.475,0.725,0.175,0.75,64,ea50a017b7660400a59b70a5b7d02b99a6943f18738f1a95ac5bcd6a8167dd5d,ea50a017b7660400a59b70a5b7d02b99a6943f18738f1a95ac5bcd6a8167dd5d,0.25,0.19494241136972523,0.238557030080637,0.21016941527970184,0.238557030080637,0.21455628557668804,6.863557666117172e-13,0.02331590000540018
38811,tree_xs_0p525_xj_0p275_yj_0p175_r_0p75,0.525,0.275,0.175,0.75,64,a28e7a5e14b0d7aef63d65f23b91dde744e35dff14d5152a09723bf0db7c65a4,a28e7a5e14b0d7aef63d65f23b91dde744e35dff14d5152a09723bf0db7c65a4,0.25,0.19494241136973445,0.21016941527971117,0.23855703008064824,0.23855703008064824,0.21455628557669795,6.641497234482294e-13,0.023583600006531924
38812,tree_xs_0p600_xj_0p250_yj_0p475_r_0p75,0.6,0.25,0.475,0.75,64,a433e2e5371de72f04fd51057098d7fc36caa43954d8141e7286c0f5084d6fac,a433e2e5371de72f04fd51057098d7fc36caa43954d8141e7286c0f5084d6fac,0.25,0.2019188682251418,0.20101615931843975,0.23855872398762812,0.23855872398762812,0.21383125051040322,8.273840927531821e-13,0.025346099995658733
38813,tree_xs_0p400_xj_0p750_yj_0p475_r_0p75,0.4,0.75,0.475,0.75,64,e55c1812a88a6c377368ad2b78c565b6a1adbefa0d291c7c3db92211c46ae6d4,e55c1812a88a6c377368ad2b78c565b6a1adbefa0d291c7c3db92211c46ae6d4,0.25,0.20191886822514524,0.23855872398763145,0.2010161593184421,0.23855872398763145,0.21383125051040627,8.47991238699025e-13,0.01937180000822991
38814,tree_xs_0p450_xj_0p750_yj_0p225_r_1p25,0.45,0.75,0.225,1.25,64,e01849c92a23aa284b0d8f758ce19b4db8ba91f2567affb3157d3d40540eb0b5,e01849c92a23aa284b0d8f758ce19b4db8ba91f2567affb3157d3d40540eb0b5,0.25,0.19000824399179492,0.23857399584184336,0.20479912667305708,0.23857399584184336,0.21112712216889848,6.060208416418566e-13,0.02097939999657683
38815,tree_xs_0p550_xj_0p250_yj_0p225_r_1p25,0.55,0.25,0.225,1.25,64,72450fa2cc1310a912e59ce0799cefa7b5e03f137dd8c6233f1b06aeec32b0fc,72450fa2cc1310a912e59ce0799cefa7b5e03f137dd8c6233f1b06aeec32b0fc,0.25,0.19000824399179714,0.20479912667305955,0.23857399584184896,0.23857399584184896,0.21112712216890187,5.861293519365163e-13,0.021355999997467734
38816,tree_xs_0p375_xj_0p700_yj_0p300_r_0p75,0.375,0.7,0.3,0.75,64,b044b253797d06db5d927cf854252df6d09d68843885341ac88f557e580d6a8e,b044b253797d06db5d927cf854252df6d09d68843885341ac88f557e580d6a8e,0.25,0.20067903185115293,0.23859034233227105,0.21323998490598295,0.23859034233227105,0.21750311969646896,8.204282566116862e-13,0.017740299997967668
38817,tree_xs_0p575_xj_0p275_yj_0p300_r_2p00,0.575,0.275,0.3,2.0,64,847605f3e0b217fb205966a8b050624b188709213cb28d308a3195b6d5bc383f,847605f3e0b217fb205966a8b050624b188709213cb28d308a3195b6d5bc383f,0.25,0.18146573505919536,0.19844555439799827,0.23859754025644186,0.23859754025644186,0.20616960990454516,4.852977504150975e-13,0.021706200001062825
38818,tree_xs_0p300_xj_0p650_yj_0p150_r_1p00,0.3,0.65,0.15,1.0,64,765507da58ffbc839f079b14ec73d9969d1ad9a212168428df9ef0d6709b138b,765507da58ffbc839f079b14ec73d9969d1ad9a212168428df9ef0d6709b138b,0.25,0.19351615884597492,0.2386075300685194,0.2190784417379021,0.2386075300685194,0.21706737688413213,6.115702340315525e-13,0.015440400005900301
