candidate_id,case_id,grid_ny,grid_nx,design_hash_64,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,scenario_A_residual,scenario_B_residual,scenario_C_residual,worst_peak,k_high,wall_seconds
evenly_dispersed_binary,shift_B_1_left,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5848379102943964,0.5849495361189074,2.1422474857255522e-11,2.1684749095060024e-11,2.1756926147835962e-11,0.5849495361189074,20.0,0.61177730000054
single_A_20260828,shift_B_1_left,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.32356636069565536,0.31459422717943425,5.3303893626756595e-12,4.927137122728407e-12,4.961052445930689e-12,0.32356636069565536,20.0,0.6137072000128683
single_A_20260829,shift_B_1_left,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.3235349665336072,0.31601846114328797,5.358510273179849e-12,5.058288681843207e-12,4.9419909453731396e-12,0.3235349665336072,20.0,0.6145516000105999
single_A_20260830,shift_B_1_left,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.32239468351033435,0.3211513095413453,5.3034057022574545e-12,4.935414567463632e-12,4.9654942265296865e-12,0.32239468351033435,20.0,0.619123500000569
robust_20260828,shift_B_1_left,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.15847191881037723,0.156506824943584,7.457370696019172e-12,7.639146376797466e-12,7.538390297996635e-12,0.15847191881037723,20.0,0.6127347000001464
robust_20260829,shift_B_1_left,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.15895138075747742,0.15562258325449235,7.343194487175408e-12,7.739878377989331e-12,7.309671493784678e-12,0.15895138075747742,20.0,0.613453899990418
robust_20260830,shift_B_1_left,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.15807320962468135,0.15663546358885735,7.407332109399596e-12,7.484553692532233e-12,7.647565073976365e-12,0.15807320962468135,20.0,0.6112905999907525
random_filtered_seed_9101,shift_B_1_right,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5890521896678989,0.48862023716050934,2.2229155391873213e-11,2.0799548975200256e-11,2.2979324754731748e-11,0.5890521896678989,20.0,0.6163041000108933
random_filtered_seed_9102,shift_B_1_right,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.49698391571499634,0.5415047970605279,2.1887773401332406e-11,2.291714702027309e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6302433999953791
random_filtered_seed_9103,shift_B_1_right,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.5210283743788541,0.5791671539152953,2.3854948175971906e-11,2.372299527052854e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6192120000050636
straight_path,shift_B_1_right,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.31089193572003476,0.31694179815031337,8.060270556133302e-12,7.325699091461195e-12,7.413941205243471e-12,0.31694179815031337,20.0,0.6189785000024131
evenly_dispersed_binary,shift_B_1_right,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5818149612092957,0.5849495361189074,2.1422474857255522e-11,2.1795464947341344e-11,2.1756926147835962e-11,0.5849495361189074,20.0,0.6187365999940084
single_A_20260828,shift_B_1_right,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.31116311934559016,0.31459422717943425,5.3303893626756595e-12,4.998806222309734e-12,4.961052445930689e-12,0.31459422717943425,20.0,0.6163671999966027
single_A_20260829,shift_B_1_right,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.31116989119946525,0.31601846114328797,5.358510273179849e-12,4.969872885761513e-12,4.9419909453731396e-12,0.31601846114328797,20.0,0.6117872000031639
single_A_20260830,shift_B_1_right,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.3100802927518701,0.3211513095413453,5.3034057022574545e-12,4.97479807574362e-12,4.9654942265296865e-12,0.3211513095413453,20.0,0.6134887999942293
robust_20260828,shift_B_1_right,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.15406993883079073,0.156506824943584,7.457370696019172e-12,7.486968729049153e-12,7.538390297996635e-12,0.156506824943584,20.0,0.6149579999910202
robust_20260829,shift_B_1_right,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.15598159065030104,0.15562258325449235,7.343194487175408e-12,7.596364095357733e-12,7.309671493784678e-12,0.1574716324313547,20.0,0.619979000010062
robust_20260830,shift_B_1_right,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.15417609090066553,0.15663546358885735,7.407332109399596e-12,7.492529390939294e-12,7.647565073976365e-12,0.15663546358885735,20.0,0.6150892000005115
random_filtered_seed_9101,shift_B_1_up,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5943283736690178,0.48862023716050934,2.2229155391873213e-11,2.0878190481628893e-11,2.2979324754731748e-11,0.5943283736690178,20.0,0.6115535000135424
random_filtered_seed_9102,shift_B_1_up,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.5001163514232566,0.5415047970605279,2.1887773401332406e-11,2.3007059306300588e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6600010999973165
random_filtered_seed_9103,shift_B_1_up,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.5234296399583911,0.5791671539152953,2.3854948175971906e-11,2.3823858101302673e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6449542999907862
