role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
adjoint,0,280,9.03705529505439e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.878779311740646e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.014081962821265e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.914982634331078e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.994566895361875e-07,True,CONVERGED,float64,cuda:0
forward,0,275,8.956613407762278e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.980220730247327e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.002415905336985e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.972260270429154e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.049391539056256e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.971168083442915e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.088329652649752e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.976620013405776e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.114256288729658e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.987670785199793e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.136858677043004e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.003015145147642e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.158074222029933e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.02129366727932e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.176353649205725e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.041244738674303e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.191411812333961e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.061816221121905e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.203815766748338e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.082199455839863e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.214372935506879e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.101835481855098e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.223899440575373e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.120350525728121e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.233079182525429e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.137529948498524e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.242417723071161e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.153306598049727e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.252175164921556e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.167673906581912e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.262301618340711e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.18071707263411e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.272596785795279e-07,True,CONVERGED,float64,cuda:0
