update,learning_rate,mean_loss,mean_candidate_thermal_smooth,best_candidate_thermal_smooth,worst_candidate_exact_tmax,mean_total_variation,mean_binarization_penalty,softmin,diversity_penalty,maximum_projection_absolute_error,gradient_norm_before_clipping,gradient_norm_after_clipping,wall_seconds
464,0.0001,0.15062331781086244,0.47304266688745417,0.1365064174541769,0.8343751388538844,0.03504592925310135,0.12719684839248657,0.1503693610604779,0.00021891081996727735,2.9802322387695312e-08,0.2364939076226694,0.2364939076226694,1.3562721544876695
465,0.0001,0.14004528924900111,0.44336608300700964,0.12593180090277756,0.8231474092242195,0.033180296421051025,0.1270146369934082,0.1397947442424356,0.00021736470807809383,4.470348358154297e-08,0.46209795508160767,0.46209795508160767,1.395812863484025
466,0.0001,0.15184109745246893,0.4683209384120283,0.13772302208844056,0.8450504590611208,0.03558235242962837,0.12728166580200195,0.15158596569677535,0.00021954940166324377,5.960464477539063e-08,0.165249403962024,0.165249403962024,1.3936731005087495
467,0.0001,0.14221590707285375,0.44194858177548696,0.12809346403025867,0.8306914391443033,0.03456342965364456,0.1273205578327179,0.14195640685767447,0.0002249367826152593,2.9802322387695312e-08,0.15072149598137471,0.15072149598137471,1.4012748058885336
468,0.0001,0.13823056136338785,0.4475727436855831,0.12410946948256249,0.8335130224359988,0.034342676401138306,0.1272655725479126,0.13797241308297892,0.00022380560403689742,4.470348358154297e-08,0.13677226767869896,0.13677226767869896,1.4330650344491005
469,0.0001,0.14403213024914086,0.44750769851598415,0.12990727148603243,0.7839274037880403,0.03644128888845444,0.12748943269252777,0.14377021509269772,0.00022547386470250785,2.9802322387695312e-08,0.14887588277922129,0.14887588277922129,1.4369256468489766
470,0.0001,0.1551498636777706,0.47506613159676103,0.14102831765513052,0.8094421533383467,0.03634233772754669,0.12741312384605408,0.1548912612648292,0.00022226007422432303,4.470348358154297e-08,0.13666920661231124,0.13666920661231124,1.4331708382815123
471,0.0001,0.15460769001176133,0.46737920584223436,0.140487196444802,0.8157129191436511,0.037123121321201324,0.12753628194332123,0.1543501400515369,0.0002204268384957686,2.9802322387695312e-08,0.15507913102204496,0.15507913102204496,1.4291706560179591
472,0.0001,0.14742139458454961,0.4572640727010089,0.13330404827249942,0.8017478367778506,0.03607302904129028,0.12713444232940674,0.14716699187980897,0.0002183296746807173,2.9802322387695312e-08,0.17448825491543796,0.17448825491543796,1.4200879884883761
473,0.0001,0.15313754051621364,0.47695374422743864,0.13902541256577416,0.8341833726668852,0.03413980454206467,0.1275816708803177,0.15288835617556762,0.0002150445361621678,2.9802322387695312e-08,0.34868113220065544,0.34868113220065544,1.4278028961271048
474,0.0001,0.15241566926429953,0.4796011312504822,0.13829577409829877,0.8363578697284428,0.03648833557963371,0.12744812667369843,0.15215871770793313,0.00022046321828383952,5.960464477539063e-08,0.14985383278267608,0.14985383278267608,1.3946596654132009
475,0.0001,0.14452877653634943,0.44847669793805767,0.13041155864577625,0.8190938572472118,0.035783763974905014,0.12703478336334229,0.14427450225226068,0.00021849051699973643,2.9802322387695312e-08,0.11711378519415892,0.11711378519415892,1.394539987668395
476,0.0001,0.1387136501704651,0.4407008413888808,0.12459539903818706,0.8466187596273451,0.03471793234348297,0.1268811672925949,0.1384583418345562,0.00022059040202293545,2.9802322387695312e-08,0.08028355491978188,0.08028355491978188,1.4049863023683429
477,0.0001,0.15145320548846838,0.4763694493730676,0.1373427188883818,0.8218550716814279,0.0321507602930069,0.12717708945274353,0.1512056624874448,0.00021539223962463439,2.9802322387695312e-08,0.3891107978054076,0.3891107978054076,1.397503555752337
478,0.0001,0.13220021353924774,0.4245908534880726,0.11807902949481436,0.7403174567730988,0.03493000566959381,0.12685251235961914,0.13194197305790392,0.00022331047512125224,2.9802322387695312e-08,0.14075969048182915,0.14075969048182915,1.3721108734607697
479,0.0001,0.1406580739290728,0.43784356409329833,0.1265370736680593,0.8024559328205698,0.035194031894207,0.12705402076244354,0.14040001716929673,0.00022286272724159062,2.9802322387695312e-08,0.12272388353219935,0.12272388353219935,1.3530748337507248
480,0.0001,0.14802697196668688,0.4541057543945156,0.13390538350557837,0.8362625902254499,0.0369248166680336,0.12720461189746857,0.14776832710944673,0.0002217200380982831,4.470348358154297e-08,0.10504398757181024,0.10504398757181024,1.3630621749907732
481,0.0001,0.14036727995128442,0.44701528265622575,0.12624573789519034,0.8137166314678556,0.035230159759521484,0.1269499957561493,0.14010868148555003,0.00022336830443236977,2.9802322387695312e-08,0.17278189917460837,0.17278189917460837,1.350867415778339
482,0.0001,0.13238875069546663,0.42618956230719196,0.11827100591892856,0.7888330804316035,0.03478197008371353,0.12668336927890778,0.13213394936647416,0.00022001935576554388,2.9802322387695312e-08,0.10131898281505976,0.10131898281505976,1.3507425794377923
483,0.0001,0.15137850917378173,0.4582031547901803,0.13725911738082286,0.843313698610385,0.03633241355419159,0.12711015343666077,0.15112206096816308,0.00022011579130776227,4.470348358154297e-08,0.09666450155856353,0.09666450155856353,1.3801346560940146
484,0.0001,0.1455815371485288,0.4570788221982103,0.1314646125960679,0.7800456089825691,0.03617256134748459,0.12694546580314636,0.1453275562055852,0.0002178083814214915,2.9802322387695312e-08,0.09908762157259429,0.09908762157259429,1.3618382317945361
485,0.0001,0.14952098821044935,0.45014920180839935,0.13540432836421357,0.7645915753332844,0.0368167944252491,0.12716853618621826,0.1492672719741197,0.00021689943969249725,2.9802322387695312e-08,0.14053623634500773,0.14053623634500773,1.3418925749137998
486,0.0001,0.14184828604716068,0.4492282327528928,0.12773280649194696,0.797567799356473,0.035492852330207825,0.12689539790153503,0.14159575009848532,0.0002170430961996317,4.470348358154297e-08,0.15210198707779451,0.15210198707779451,1.367810545489192
487,0.0001,0.13569993445832207,0.43784090062738507,0.12158072386754189,0.7789143388816041,0.03456246107816696,0.12675654888153076,0.1354436674422379,0.00022170455486048013,2.9802322387695312e-08,0.07794596152128845,0.07794596152128845,1.37655233964324
488,0.0001,0.1443755020980838,0.4496505578544172,0.13025540085866105,0.8313443834959621,0.03603106737136841,0.12707597017288208,0.14411834441747617,0.0002211266109952703,4.470348358154297e-08,0.09057637937428026,0.09057637937428026,1.359186022542417
489,0.0001,0.1476430240577808,0.47136035328038073,0.13352214379103688,0.8465129721677133,0.03577466309070587,0.12689246237277985,0.14738508739859907,0.00022216199431568384,4.470348358154297e-08,0.20757669307413434,0.20757669307413434,1.347792211920023
490,0.0001,0.14803832146246343,0.4612108851322281,0.13392209726204998,0.8222153352459153,0.03441643714904785,0.12669207155704498,0.14778504087045796,0.00021886415197513998,2.9802322387695312e-08,0.22412289779822228,0.22412289779822228,1.3744783829897642
491,0.0001,0.1520324324337774,0.4717711351374741,0.1379145823664052,0.8555610683919564,0.03590504080057144,0.12696224451065063,0.15177752597083538,0.00021900142019148916,4.470348358154297e-08,0.15444591764645138,0.15444591764645138,1.3966888189315796
492,0.0001,0.1431570617282361,0.4551613785771649,0.12904072130467148,0.8029564374315561,0.035051487386226654,0.12678825855255127,0.14290366490644574,0.000218345332541503,2.9802322387695312e-08,0.162156945079157,0.162156945079157,1.3615023326128721
493,0.0001,0.14644595038288424,0.4368802619137838,0.13232782730558934,0.7726574376746327,0.0360516756772995,0.1269489973783493,0.14619077088599478,0.00021912781812716275,2.9802322387695312e-08,0.16868008888046065,0.16868008888046065,1.359686378389597
494,0.0001,0.14393033243899994,0.44997687097089367,0.1298143623806544,0.8500014226338782,0.03442090377211571,0.12655435502529144,0.1436773059707281,0.0002186055644415319,2.9802322387695312e-08,0.14614877802003332,0.14614877802003332,1.3678110698238015
495,0.0001,0.14014682370875595,0.4408434140559958,0.12602761183149802,0.7744129443265519,0.03537055104970932,0.1265382021665573,0.13989055543029313,0.00022089772392064333,2.9802322387695312e-08,0.0729451821263441,0.0729451821263441,1.3547885455191135
496,0.0001,0.1495673772621514,0.4606622119778201,0.13545011133055837,0.8278868223560794,0.0361531600356102,0.12656688690185547,0.14931305493491454,0.0002181691670557484,2.9802322387695312e-08,0.10110566413174334,0.10110566413174334,1.340892031788826
497,0.0001,0.14953219230064918,0.46406629507985875,0.13541200702183737,0.8035490740237412,0.03574901074171066,0.12671251595020294,0.14927495062274887,0.00022149266442283988,2.9802322387695312e-08,0.11645096717547408,0.11645096717547408,1.353700135834515
498,0.0001,0.14616822083426728,0.45096080841409925,0.13205107063970145,0.81964916339384,0.03573150187730789,0.1265278160572052,0.14591401423841222,0.00021847509196959436,2.9802322387695312e-08,0.1507775302358382,0.1507775302358382,1.364433097653091
499,0.0001,0.14722921232695685,0.4485949857794481,0.13311430324508003,0.7804781764066594,0.03567558526992798,0.12675055861473083,0.14697724684973823,0.00021628988906741142,2.9802322387695312e-08,0.15554961883034962,0.15554961883034962,1.628915186971426
500,0.0001,0.13829232698618435,0.4304058297165718,0.1241742247305663,0.8129601362033546,0.03520931676030159,0.12648048996925354,0.13803716813118663,0.00021994953567627817,2.9802322387695312e-08,0.09230507639673755,0.09230507639673755,1.7266364768147469
501,0.0001,0.15203049699064164,0.4550929194406643,0.1379101310889669,0.7881935621580636,0.03607124835252762,0.12668047845363617,0.15177307466526568,0.00022135107428766787,2.9802322387695312e-08,0.16299868145860136,0.16299868145860136,1.7296167220920324
502,0.0001,0.15280358601973276,0.46334318713935685,0.13868281589070458,0.8663840821293195,0.037425167858600616,0.1268068253993988,0.15254575949308347,0.00022040135809220374,1.4901161193847656e-08,0.1412915402572445,0.1412915402572445,1.6924901958554983
