role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,290,9.504662753349935e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.2545543266095e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.288571480506953e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.449521062680511e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.101377258248597e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.311470129344364e-07,True,CONVERGED,float64,cuda:0
forward,0,290,9.248012107916567e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.121766705782634e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.27002132614258e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,8.907126532290959e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.332101428356174e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.627006898887584e-07,True,CONVERGED,float64,cuda:0
forward,0,290,9.068825506768273e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.064074626162062e-07,True,CONVERGED,float64,cuda:0
forward,2,292,9.599181187561658e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,8.933264254465707e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.57351526616596e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.930639667969096e-07,True,CONVERGED,float64,cuda:0
forward,0,290,8.918100478919576e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.056760787462446e-07,True,CONVERGED,float64,cuda:0
forward,2,293,9.394207247279879e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.879028469221682e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.739822617794175e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.535331197450629e-07,True,CONVERGED,float64,cuda:0
forward,0,290,8.757096747209647e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.085187167125487e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.268129898702039e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.908833709198146e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.781012694789885e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.715721107718806e-07,True,CONVERGED,float64,cuda:0
forward,0,290,8.568404814561201e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.147251261182292e-07,True,CONVERGED,float64,cuda:0
forward,2,297,9.921430493685696e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.116398268689191e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.680704205835025e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.823557141395726e-07,True,CONVERGED,float64,cuda:0
forward,0,289,9.741765480860977e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.241827499222876e-07,True,CONVERGED,float64,cuda:0
forward,2,299,9.60468620863289e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.192492941571292e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.448342925848832e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.868861191159569e-07,True,CONVERGED,float64,cuda:0
forward,0,289,9.42481867305996e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.35882509059691e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.957718072520069e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.22826503105362e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.91952006982133e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.866611928572192e-07,True,CONVERGED,float64,cuda:0
forward,0,289,9.09046546158315e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.478756229450778e-07,True,CONVERGED,float64,cuda:0
forward,2,301,9.79564140515156e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.305956289266067e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.501606060893722e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.833918872248854e-07,True,CONVERGED,float64,cuda:0
forward,0,289,8.752890081809577e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.580066619582783e-07,True,CONVERGED,float64,cuda:0
forward,2,302,8.974837446050483e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.397878222482589e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.752212936204123e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.787863093931934e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.686297976021052e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.64784557246594e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.049943522117508e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.465326374017938e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.335402323661902e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.743436026153848e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.373988909689819e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.678721678054735e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.043260573647262e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.484292227316822e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,8.938864665694551e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.711408058005196e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.101758158219673e-07,True,CONVERGED,float64,cuda:0
forward,1,290,9.680920233894408e-07,True,CONVERGED,float64,cuda:0
