family,task_index,task_id,tmax_256,scenario_a_256,scenario_b_256,scenario_c_256,material_fraction,maximum_residual,wall_seconds
RAW,21,4ab9eb5c9f7a0f55b84b696c757a64089ad3f4128876a5e93d434852691dc911,0.20057347570392967,0.1573359798319771,0.16373611818006786,0.20057347570392967,0.25,7.411071035325011e-12,1.044693699979689
RAW,22,91e6d9f16b8b0ca0071bdcf76165e97eb5b777a70d82236d7b3481c0a6afee9a,0.2072534307503478,0.20593889246480662,0.1405406028269321,0.2072534307503478,0.25,7.282603828568184e-12,1.0258195999776945
RAW,23,e13cf57ce6e1026b692ce99a3c4ca73d63e0bb61c00a4b755f479383238ea02a,0.20366365349391993,0.1569452018159062,0.13075395012139923,0.20366365349391993,0.25,7.730708740689422e-12,1.0488428000244312
RAW,24,5213fa694c90a9c22dc5fc9ff63cd6bc34702c4c53d5e66f028d306cf3f040d7,0.19940143502042182,0.19940143502042182,0.13100774947108912,0.19626797397194454,0.25,7.281569110552132e-12,1.0270544000086375
RAW,25,5a97ee0cb94f0d9665b61d0e4e5538a05a1a6f69bd05b640b24c872cd449dc6a,0.1913913340728131,0.16491656527567772,0.12099971304590469,0.1913913340728131,0.25,6.9633391430707246e-12,1.0410421999986283
RAW,26,55c52cc6b6fe9d5239a60902fc27862dbc7e930495b2d2938360aea62cf7fc8f,0.22027287095903292,0.22027287095903292,0.19469305346159566,0.16077571016359118,0.25,8.553912975897425e-12,1.0145594999776222
RAW,27,e65d6934aa137d0dc64d654f7586d1783bbd91fc1ab8bc25643c2d4071b60777,0.21290494209287603,0.21290494209287603,0.15705326168857042,0.1838682972080447,0.25,7.685912513226139e-12,1.041886200022418
RAW,28,0d00c9213318579b16d3289130e95b3c21287a73649de59dd40930755ce004e6,0.18373854225508657,0.17144604839726355,0.18373854225508657,0.1603427919003505,0.25,7.978579432580484e-12,1.0809451999957673
RAW,29,f7e09d487ac9f9ba0c2caaed01edbb118d218894c0760c8542d17d2889e14bfe,0.221464113254091,0.2091312435670365,0.1633989809184995,0.221464113254091,0.25,8.344935977839565e-12,1.0288409000495449
RAW,30,f0c0ff05e0da1d036f4e8ddc31979a99ddfd15b9ea96efb7f9adfc0428225071,0.17058148990893524,0.13078971026032057,0.17058148990893524,0.1430310452733823,0.25,7.724193483072323e-12,1.0239164999802597
RAW,31,62ec0fa57d6e1d7c024679957b0c74ecae2d8520d9e5d7729e572a8ceaa8b1ca,0.22151214713735065,0.21902998563641887,0.17151617256220117,0.22151214713735065,0.25,8.466733492053265e-12,0.9896619999781251
PHYSICS,0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,0.2397426486787125,0.2397426486787125,0.10953072406043661,0.12945993567114053,0.25,8.126210900875799e-12,1.0487907999777235
PHYSICS,1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,0.21167466927619144,0.21014526352251703,0.16690918963827342,0.21167466927619144,0.25,1.093207839018294e-11,1.015969000000041
PHYSICS,2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,0.21990135161785163,0.1735562515229127,0.21990135161785163,0.1535981035062947,0.25,1.0302102889068639e-11,1.059213800006546
PHYSICS,3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,0.19901643085252332,0.17601294275297477,0.19901643085252332,0.18525755382128048,0.25,1.0280407992124582e-11,1.0563722000224516
PHYSICS,4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,0.20704177342329205,0.1413826583234083,0.20704177342329205,0.18668147020611794,0.25,8.279508924161028e-12,1.0189047000021674
PHYSICS,5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,0.19895167318684173,0.18488663015250265,0.15584728106073548,0.19895167318684173,0.25,1.0842128576571737e-11,0.9847685999702662
PHYSICS,6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,0.17302291445253587,0.12436587395068109,0.17302291445253587,0.13334403513081308,0.25,8.1966038338801e-12,1.0552178000216372
PHYSICS,7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,0.20401946474743746,0.16295353834018897,0.20401946474743746,0.1383646893543072,0.25,8.715085015937373e-12,1.0072319000028074
PHYSICS,8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,0.23399071326724744,0.23399071326724744,0.11398759234758289,0.16783515196434592,0.25,8.193638748453351e-12,1.0328376000397839
PHYSICS,9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,0.1720866145049937,0.1271490321394239,0.1720866145049937,0.14809323012885287,0.25,7.893931803397694e-12,1.0522747000213712
PHYSICS,10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,0.3371776526974628,0.3371776526974628,0.1361025536479608,0.20245682546013574,0.25,1.2585728477748334e-11,1.0751829000073485
PHYSICS,11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,0.2316937126368628,0.17707223108071862,0.17596868896272522,0.2316937126368628,0.25,1.0136185321595796e-11,1.020347599987872
PHYSICS,12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,0.20139909863498986,0.17244802813619767,0.15111704761494915,0.20139909863498986,0.25,9.988325935872845e-12,1.019129200023599
PHYSICS,13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,0.15845373717213934,0.14965796089247668,0.12182170829084263,0.15845373717213934,0.25,8.481537173661934e-12,1.0326374000287615
PHYSICS,14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,0.22107724054363642,0.20153411478927008,0.22107724054363642,0.19343044831211298,0.25,1.1693458113593812e-11,1.044588599994313
PHYSICS,15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,0.2304955424872057,0.16190855389350764,0.13389479282551317,0.2304955424872057,0.25,8.534134205380062e-12,1.039892900036648
PHYSICS,16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,0.2447128881690605,0.2447128881690605,0.10175841228907682,0.12502617189741225,0.25,7.292548203264538e-12,1.0698893000371754
PHYSICS,17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,0.2620702033202527,0.2620702033202527,0.11929940326520903,0.217386869321117,0.25,7.870748115593529e-12,1.0512223999830894
PHYSICS,18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,0.20069296382872445,0.15195085604011813,0.11226615764051993,0.20069296382872445,0.25,7.878553859268943e-12,1.0372368999524042
PHYSICS,19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,0.3985494737880993,0.3985494737880993,0.3736502382050536,0.30746106839145787,0.25,2.4840707724827613e-11,1.0397991999634542
PHYSICS,20,77059e75195a0b81facf226b4e071ddb158fb843893ade2f83035a3635d7e2e0,0.190098086971086,0.15986357778807034,0.11560611052752828,0.190098086971086,0.25,7.739183965975234e-12,1.0364658999606036
PHYSICS,21,4ab9eb5c9f7a0f55b84b696c757a64089ad3f4128876a5e93d434852691dc911,0.2125555484411996,0.17137093363468245,0.17621634415551313,0.2125555484411996,0.25,1.0920421298352177e-11,1.026337599963881
PHYSICS,22,91e6d9f16b8b0ca0071bdcf76165e97eb5b777a70d82236d7b3481c0a6afee9a,0.19679230780904877,0.19625637628306056,0.12716928307151837,0.19679230780904877,0.25,8.520078282577484e-12,1.0239517000154592
PHYSICS,23,e13cf57ce6e1026b692ce99a3c4ca73d63e0bb61c00a4b755f479383238ea02a,0.19717388849898987,0.14267612193894272,0.11866606232616149,0.19717388849898987,0.25,8.077819578626396e-12,1.0254322999971919
