iteration,beta,alpha,binarization_weight,total_objective,exact_peak,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,maximum_cg_iterations,maximum_residual,wall_seconds
23,1.0,50.0,0.0,0.4252592096639053,0.5173128954672218,0.25,0.0,0.011644741520285606,292,9.878787932391148e-07,2.331018099997891
24,1.0,50.0,0.0,0.4170316966823612,0.5089069400778815,0.2499999701976776,0.0,0.011586476117372513,293,9.856905935043865e-07,2.3084314000007
25,1.0,50.0,0.0,0.4087910041433819,0.50041794580484,0.2499999850988388,0.0,0.011504135094583035,294,9.931452035785572e-07,2.341622299994924
26,1.0,50.0,0.0,0.4005641576362904,0.49188171110709444,0.2499999701976776,0.0,0.011394393630325794,294,9.899390852503553e-07,2.365062900003977
27,1.0,50.0,0.0,0.39238310563410145,0.4833419053477393,0.24999995529651642,0.0,0.011255626566708088,294,9.981518461397827e-07,2.34144030000607
28,1.0,50.0,0.0,0.3842835012720721,0.47484733576743254,0.25,0.0,0.011087990365922451,294,9.978245639720542e-07,2.3418486999871675
29,1.0,50.0,0.0,0.3763023186208165,0.46644809155555533,0.25,0.00244140625,0.010893315076828003,294,9.592991319199654e-07,2.3774049000057857
30,1.0,50.0,0.0,0.3684754587365878,0.45819210346554756,0.2499999701976776,0.015380859375,0.010674894787371159,294,9.994612886936557e-07,2.3512515000038547
31,1.0,50.0,0.0,0.36083494945181455,0.4501217092702396,0.2499999850988388,0.046142578125,0.010437079705297947,295,9.73275577847158e-07,2.3599408000009134
32,1.0,50.0,0.0,0.35340753933621266,0.4422721459410269,0.25,0.093017578125,0.010184923186898232,298,9.996486759512123e-07,2.397514800002682
33,1.0,50.0,0.0,0.3462132642295776,0.4346702445171269,0.2499999850988388,0.144775390625,0.009923702105879784,300,9.9999753815957e-07,2.3681628000049386
34,1.0,50.0,0.0,0.3392645603694134,0.42733387944301876,0.25,0.207763671875,0.009658442810177803,301,9.981541448736066e-07,2.378623399999924
35,1.0,50.0,0.0,0.33256739588828865,0.42027346217752976,0.2499999701976776,0.26025390625,0.009393570944666862,301,9.817103189214016e-07,2.392606000008527
36,1.0,50.0,0.0,0.32612221816524234,0.41349304217920835,0.25,0.29345703125,0.009132594801485538,301,9.955982656013394e-07,2.386850399998366
37,1.0,50.0,0.0,0.31992583252323803,0.40699209565198896,0.2500000298023224,0.304931640625,0.008878023363649845,301,9.997307336186542e-07,2.3910330000071554
38,1.0,50.0,0.0,0.3139727963750236,0.4007666657754005,0.2499999850988388,0.3115234375,0.008631482720375061,301,9.961754960363576e-07,2.4581303000013577
39,1.0,50.0,0.0,0.30825622990751694,0.39487612939955585,0.25,0.317626953125,0.008393864147365093,301,9.975905784028913e-07,2.4793209999916144
40,1.0,50.0,0.0,0.3027689366897185,0.38920656087740557,0.2499999850988388,0.3232421875,0.008165564388036728,301,9.994795505653941e-07,2.3928822000016226
